name, latitude, longitude, rank, score, private, religious, catholic, type
Farsley Farfield Primary School,53.809740,-1.681198,0.625592,80.000000,FALSE,FALSE,FALSE,Primary
Barwick-in-Elmet Church of England Voluntary Controlled Primary School,53.830287,-1.397122,0.620853,79.000000,FALSE,TRUE,FALSE,Primary
All Saints Richmond Hill Church of England Primary School,0.000000,0.000000,0.616114,79.000000,FALSE,TRUE,FALSE,Primary
Gledhow Primary School,53.832992,-1.520920,0.611374,79.000000,FALSE,FALSE,FALSE,Primary
Methley Primary School,53.738314,-1.395557,0.606635,79.000000,FALSE,FALSE,FALSE,Primary
Kirkstall Valley Primary School,53.808428,-1.586965,0.601896,79.000000,FALSE,FALSE,FALSE,Primary
Fountain Primary School,53.738936,-1.610180,0.597156,79.000000,FALSE,FALSE,FALSE,Primary
Westwood Primary School,53.747117,-1.556074,0.592417,79.000000,FALSE,FALSE,FALSE,Primary
Cookridge Holy Trinity Church of England Primary School,0.000000,0.000000,0.587678,79.000000,FALSE,TRUE,FALSE,Primary
St Margarets Church of England Voluntary Controlled Primary School,0.000000,0.000000,0.582938,79.000000,FALSE,TRUE,FALSE,Primary
Middleton Primary School,53.742956,-1.547892,0.578199,78.000000,FALSE,FALSE,FALSE,Primary
St Urbans Catholic Primary School,0.000000,0.000000,0.573460,78.000000,FALSE,TRUE,TRUE,Primary
Westgate Primary School,53.903007,-1.703057,0.568720,78.000000,FALSE,FALSE,FALSE,Primary
Morley Newlands Primary School,53.747942,-1.582520,0.563981,78.000000,FALSE,FALSE,FALSE,Primary
Rufford Park Primary School,53.863317,-1.684159,0.559242,78.000000,FALSE,FALSE,FALSE,Primary
Brodetsky Primary School,53.853741,-1.543707,0.554502,78.000000,FALSE,TRUE,FALSE,Primary
Fieldhead Carr Primary School,53.837592,-1.456948,0.549763,78.000000,FALSE,FALSE,FALSE,Primary
Grimes Dyke Primary School,53.824919,-1.446556,0.545024,78.000000,FALSE,FALSE,FALSE,Primary
East Garforth Primary School,53.798078,-1.367918,0.540284,78.000000,FALSE,FALSE,FALSE,Primary
Park View Primary Academy,0.000000,0.000000,0.535545,77.000000,FALSE,FALSE,FALSE,Primary
Kippax Greenfield Primary School,53.770196,-1.372283,0.530806,77.000000,FALSE,FALSE,FALSE,Primary
Templenewsam Halton Primary School,53.798259,-1.464432,0.526066,77.000000,FALSE,FALSE,FALSE,Primary
Thorner Church of England Voluntary Controlled Primary School,0.000000,0.000000,0.521327,76.000000,FALSE,TRUE,FALSE,Primary
Kippax North Junior Infant & Nursery School,53.778394,-1.380379,0.516588,76.000000,FALSE,FALSE,FALSE,Primary
Lady Elizabeth Hastings Church of England Primary School Thorp Arch,53.910300,-1.341610,0.511848,76.000000,FALSE,TRUE,FALSE,Primary
Woodlesford Primary School,53.756933,-1.447885,0.507109,76.000000,FALSE,FALSE,FALSE,Primary
Bankside Primary School,53.814950,-1.521803,0.502370,75.000000,FALSE,FALSE,FALSE,Primary
St Nicholas Catholic Primary School,53.811530,-1.489183,0.497630,75.000000,FALSE,TRUE,TRUE,Primary
Carr Manor Primary School,53.835316,-1.551349,0.492891,75.000000,FALSE,FALSE,FALSE,Primary
Park Spring Primary School,53.799272,-1.636994,0.488152,75.000000,FALSE,FALSE,FALSE,Primary
Corpus Christi Catholic Primary School,53.797081,-1.486063,0.483412,75.000000,FALSE,TRUE,TRUE,Primary
Lady E Hastings CofE Primary School,0.000000,0.000000,0.478673,75.000000,FALSE,TRUE,FALSE,Primary
Sacred Heart Catholic Primary School,53.811850,-1.595547,0.473934,75.000000,FALSE,TRUE,TRUE,Primary
Allerton Bywater Primary School,53.746729,-1.372199,0.469194,74.000000,FALSE,FALSE,FALSE,Primary
Pool-in-Wharfedale Church of England Voluntary Controlled Primary School,0.000000,0.000000,0.464455,74.000000,FALSE,TRUE,FALSE,Primary
Shakespeare Primary School,0.000000,0.000000,0.459716,74.000000,FALSE,FALSE,FALSE,Primary
St Augustines Catholic Primary School,53.813868,-1.506367,0.454976,74.000000,FALSE,TRUE,TRUE,Primary
Hunslet St Marys Church of England Primary School,53.777554,-1.528595,0.450237,74.000000,FALSE,TRUE,FALSE,Primary
Ninelands Primary School,53.788964,-1.377630,0.445498,74.000000,FALSE,FALSE,FALSE,Primary
Lowtown Primary School,53.796730,-1.654509,0.440758,74.000000,FALSE,FALSE,FALSE,Primary
Seacroft Grange Primary School,53.811235,-1.472592,0.436019,74.000000,FALSE,FALSE,FALSE,Primary
Kippax Ash Tree Primary School,53.768963,-1.365077,0.431280,74.000000,FALSE,FALSE,FALSE,Primary
Victoria Junior School,53.753821,-1.488643,0.426540,73.000000,FALSE,FALSE,FALSE,Primary
Valley View Community Primary School,53.816046,-1.658231,0.421801,73.000000,FALSE,FALSE,FALSE,Primary
Rawdon St Peters Church of England Voluntary Controlled Primary School,0.000000,0.000000,0.417062,73.000000,FALSE,TRUE,FALSE,Primary
Hunslet Carr Primary School,53.771949,-1.528051,0.412322,73.000000,FALSE,FALSE,FALSE,Primary
Little London Community Primary School and Nursery,0.000000,0.000000,0.407583,73.000000,FALSE,FALSE,FALSE,Primary
Cookridge Primary School,53.855422,-1.615312,0.402844,73.000000,FALSE,FALSE,FALSE,Primary
Ebor Gardens Primary School,53.799687,-1.522551,0.398104,72.000000,FALSE,FALSE,FALSE,Primary
Manston St James Church of England Primary School,0.000000,0.000000,0.393365,72.000000,FALSE,TRUE,FALSE,Primary
Grange Farm Primary School,53.827567,-1.473206,0.388626,72.000000,FALSE,FALSE,FALSE,Primary
Holy Name Catholic Primary School,53.847163,-1.604499,0.383886,72.000000,FALSE,TRUE,TRUE,Primary
Holy Rosary and St Annes Catholic Primary School,53.811933,-1.533131,0.379147,72.000000,FALSE,TRUE,TRUE,Primary
Whinmoor St Pauls Church of England Primary School,53.828082,-1.447601,0.374408,72.000000,FALSE,TRUE,FALSE,Primary
Parklands Primary School,53.813447,-1.462612,0.369668,72.000000,FALSE,FALSE,FALSE,Primary
Quarry Mount Primary School,53.815354,-1.554850,0.364929,72.000000,FALSE,FALSE,FALSE,Primary
Castleton Primary School,53.792706,-1.575816,0.360190,71.000000,FALSE,FALSE,FALSE,Primary
Broadgate Primary School,53.840995,-1.633231,0.355450,71.000000,FALSE,FALSE,FALSE,Primary
Swillington Primary School,53.769578,-1.418373,0.350711,71.000000,FALSE,FALSE,FALSE,Primary
St Theresas Catholic Primary School,53.814601,-1.451560,0.345972,71.000000,FALSE,TRUE,TRUE,Primary
Middleton St Marys Church of England Voluntary Controlled Primary School,0.000000,0.000000,0.341232,70.000000,FALSE,TRUE,FALSE,Primary
Kirkstall St Stephens Church of England Primary School,0.000000,0.000000,0.336493,70.000000,FALSE,TRUE,FALSE,Primary
Chapel Allerton Primary School,53.826860,-1.537330,0.331754,70.000000,FALSE,FALSE,FALSE,Primary
