name, latitude, longitude, rank, score, private, religious, catholic, type,
Ingram Road Primary School,53.784219,-1.563844,0.028436,42,FALSE,FALSE,FALSE,Primary,
Woodlands Primary School,53.811784,-1.505514,0.023697,41,FALSE,FALSE,FALSE,Primary,
Aberford Church of England Voluntary Controlled Primary School,53.826455,-1.345268,0.018957,41,FALSE,TRUE,FALSE,Primary,
Hillcrest Primary School,53.81503,-1.529303,0.014218,38,FALSE,FALSE,FALSE,Primary,
Cottingley Primary School,53.768594,-1.585725,0.009479,38,FALSE,FALSE,FALSE,Primary,
Clapgate Primary School,53.751662,-1.520125,0.004739,32,FALSE,FALSE,FALSE,Primary,
Richmond Hill Primary School,53.792368,-1.518177,0,31,FALSE,FALSE,FALSE,Primary,
The Grammar School At Leeds,53.865055,-1.519957,1,99,TRUE,FALSE,FALSE,Secondary,
Gateways School,53.899189,-1.510202,0.976744,87,TRUE,FALSE,FALSE,Secondary,
St Marys Catholic Comprehensive School,-33.765997,150.774133,0.953488,86,FALSE,TRUE,TRUE,Secondary,
Woodhouse Grove School,53.840143,-1.700381,0.930233,83,TRUE,FALSE,FALSE,Secondary,
Garforth Academy,53.78716,-1.391353,0.906977,75,FALSE,FALSE,FALSE,Secondary,
The Farnley Academy,53.783689,-1.620005,0.883721,73,FALSE,FALSE,FALSE,Secondary,
Horsforth School,53.842175,-1.640993,0.860465,71,FALSE,FALSE,FALSE,Secondary,
Abbey Grange Church of England Academy,53.834418,-1.611386,0.837209,70,FALSE,TRUE,FALSE,Secondary,
Woodkirk Academy,53.729453,-1.585584,0.813953,69,FALSE,FALSE,FALSE,Secondary,
Wetherby High School,53.929838,-1.380454,0.790698,69,FALSE,FALSE,FALSE,Secondary,
Guiseley School,53.871206,-1.717707,0.767442,69,FALSE,FALSE,FALSE,Secondary,
Roundhay School,53.829453,-1.514573,0.744186,69,FALSE,FALSE,FALSE,Secondary,
Otley Prince Henrys Grammar School,53.912341,-1.693802,0.72093,67,FALSE,FALSE,FALSE,Secondary,
The Morley Academy,53.742493,-1.607568,0.697674,66,FALSE,FALSE,FALSE,Secondary,
Cardinal Heenan Catholic High School,53.839484,-1.559468,0.674419,64,FALSE,TRUE,TRUE,Secondary,
Fulneck School,53.783846, -1.664609,0.651163,63,TRUE,FALSE,FALSE,Secondary,
Benton Park School,53.857268,-1.683946,0.627907,63,FALSE,FALSE,FALSE,Secondary,
Allerton High School,53.850483,-1.552522,0.604651,62,FALSE,FALSE,FALSE,Secondary,
Temple Moor High School,53.796368,-1.461254,0.581395,58,FALSE,FALSE,FALSE,Secondary,
Rodillian Academy,53.730524,-1.504317,0.55814,58,FALSE,FALSE,FALSE,Secondary,
Crawshaw School,53.792889,-1.656562,0.534884,58,FALSE,FALSE,FALSE,Secondary,
Priesthorpe School,53.810701,-1.687351,0.511628,57,FALSE,FALSE,FALSE,Secondary,
Focus School Boston Spa,53.903974, -1.349594,0.488372,56,TRUE,FALSE,FALSE,Secondary,
Brigshaw High School and Language College,53.757067,-1.38103,0.465116,56,FALSE,FALSE,FALSE,Secondary,
Pudsey Grangefield School,53.799387,-1.662251,0.44186,52,FALSE,FALSE,FALSE,Secondary,
Ralph Thoresby School,53.854615,-1.609205,0.418605,51,FALSE,FALSE,FALSE,Secondary,
Boston Spa School,53.899733,-1.361899,0.395349,50,FALSE,FALSE,FALSE,Secondary,
Corpus Christi Catholic College,53.796806,-1.485863,0.372093,49,FALSE,TRUE,TRUE,Secondary,
Royds School Specialist Language College,53.737199,-1.458605,0.348837,49,FALSE,FALSE,FALSE,Secondary,
Bruntcliffe School,53.7456,-1.619293,0.325581,48,FALSE,FALSE,FALSE,Secondary,
Leeds West Academy,53.814069,-1.654118,0.302326,48,FALSE,FALSE,FALSE,Secondary,
Lawnswood School,53.836154,-1.595189,0.27907,48,FALSE,FALSE,FALSE,Secondary,
Allerton Grange School,53.840862,-1.521022,0.255814,46,FALSE,FALSE,FALSE,Secondary,
Cockburn,53.771474, -1.540997,0.232558,46,FALSE,FALSE,FALSE,Secondary,
Mount St Marys Catholic High School,53.79386,-1.52688,0.209302,45,FALSE,TRUE,TRUE,Secondary,
David Young Community Academy,53.819843,-1.476535,0.186047,44,FALSE,FALSE,FALSE,Secondary,
New Horizon Community School,53.821965, -1.529312,0.162791,42,TRUE,FALSE,FALSE,Secondary,
Carr Manor Community School,53.832445,-1.554093,0.139535,41,FALSE,FALSE,FALSE,Secondary,
Leeds East Academy,53.815817,-1.461857,0.116279,38,FALSE,FALSE,FALSE,Secondary,
John Smeaton Community College,53.815404, -1.433642,0.093023,38,FALSE,FALSE,FALSE,Secondary,
The Co-operative Academy of Leeds,53.802616,-1.520949,0.069767,33,FALSE,FALSE,FALSE,Secondary,
South Leeds Academy,53.801112,-1.534924,0.046512,31,FALSE,FALSE,FALSE,Secondary,
Swallow Hill Community College,53.794417,-1.605504,0.023256,28,FALSE,FALSE,FALSE,Secondary,
City of Leeds School,53.817779,-1.558321,0,26,FALSE,FALSE,FALSE,Secondary,
